Year;Region;Farmer;FlowerStrip;Transect;PlantSp;Ploidy;Fieldsize;Flowers;zFlowers;zFlowersFS;Striparea;zStriparea;plCROP1km;rounds;logrounds;Species;Bumblebees;longt;shortt;ca;di;ho;la;mu;oh;pa;pr;rd;rp;so;su;sy;terag;Honeybees;cwm_tongue;Protapion;TotalProtapion;logWFlowers;Parasitoids;Hayield;mlongt;mshortt;mHoneybees;ProtapionDensity;HBcol_ha
2009;E;1;Y;interior;tripra;4n;8;98,75;-14,6139167;-15,4741987;1500;664,77;0,352945772;4;1,386294361;7;53;5;43;0;0;1;6;0;1;4;0;1;0;4;0;0;36;56;5,95204416;39;40;4,094344562;1;251,25;1,25;10,75;14;0,666666667;
2009;E;1;Y;edge;tripra;4n;8;139,75;-4,3639167;-5,2241987;1500;664,77;0,352945772;4;1,386294361;7;47;2;38;1;0;0;3;0;0;1;0;1;0;0;1;0;40;38;6,061867334;19;19;4,094344562;0;321,75;0,5;9,5;9,5;0,316666667;
2009;M;2;N;interior;tripra;2n;10;153,25;2,096014533;4,520370333;;;0,728431913;3;1,098612289;3;45;1;44;0;0;0;14;0;0;0;0;0;0;0;1;0;30;21;6,17969697;0;2;4,094344562;2;600,75;0,333333333;14,66666667;7;0,033333333;
2009;M;2;N;edge;tripra;2n;10;223,25;25,42934787;27,85370367;;;0,728431913;3;1,098612289;7;45;5;37;0;0;1;3;0;2;1;0;0;0;0;3;3;32;83;5,708174603;0;0;4,094344562;0;558,25;1,666666667;12,33333333;27,66666667;0;
2009;M;3;N;interior;tripra;2n;4;112,75;-11,40398547;-8,979629667;;;0,477156449;3;1,098612289;4;49;3;41;0;0;0;14;0;4;0;0;0;0;0;3;0;28;0;6,811111111;354;360;4,094344562;6;19,25;1;13,66666667;0;6;
2009;M;3;N;edge;tripra;2n;4;161,75;4,929347867;7,353703667;;;0,477156449;3;1,098612289;4;49;2;42;0;0;2;6;0;4;0;0;0;1;0;0;0;36;1;6,829130435;165;166;4,094344562;1;44,25;0,666666667;14;0,333333333;2,766666667;
2009;M;4;N;interior;tripra;2n;5;147,25;-12,1748188;-9,750463;;;0,334740036;4;1,386294361;4;128;1;112;0;0;0;16;0;7;1;0;0;0;0;0;0;104;1;6,854016393;3;3;4,094344562;0;641;0,25;28;0,25;0,05;
2009;M;4;N;edge;tripra;2n;5;168,5;-6,8623188;-4,437963;;;0,334740036;4;1,386294361;6;158;1;134;0;0;0;26;0;12;1;0;0;0;5;0;1;113;9;6,674709677;3;6;4,094344562;3;511;0,25;33,5;2,25;0,1;
2009;M;5;Y;interior;tripra;4n;6;169,75;3,1360833;2,2758013;538;-297,23;0,664093728;4;1,386294361;5;77;2;71;0;0;1;11;0;3;0;0;0;0;0;1;0;61;5;6,800126582;116;117;4,094344562;1;87,25;0,5;17,75;1,25;1,95;
2009;M;5;Y;edge;tripra;4n;6;185,75;7,1360833;6,2758013;538;-297,23;0,664093728;4;1,386294361;5;98;2;96;0;0;0;11;0;0;1;0;0;0;0;1;1;84;2;6,8646;234;236;4,094344562;2;90;0,5;24;0,5;3,933333333;
2009;E;6;Y;interior;tripra;2n;8;129;-16,7373188;-14,312963;1500;68,89;0,169844362;4;1,386294361;8;66;4;35;0;1;2;2;0;1;1;0;0;0;1;0;1;57;88;5,877124183;30;31;4,094344562;1;319,25;1;8,75;22;0,516666667;
2009;E;6;Y;edge;tripra;2n;8;162,75;-8,2998188;-5,875463;1500;68,89;0,169844362;4;1,386294361;10;49;10;26;0;2;3;3;0;2;2;2;0;1;3;3;0;28;49;6,146489362;71;74;4,094344562;3;270,75;2,5;6,5;12,25;1,233333333;
2009;E;7;Y;interior;tripra;2n;15;186;-2,4873188;-0,062963;1440;8,89;0,756937791;4;1,386294361;4;40;1;38;0;0;1;1;0;0;0;0;0;0;0;0;0;38;48;5,923636364;0;1;4,094344562;1;179,25;0,25;9,5;12;0,016666667;
2009;E;7;Y;edge;tripra;2n;15;162;-8,4873188;-6,062963;1440;8,89;0,756937791;4;1,386294361;4;39;1;36;0;0;1;12;0;2;0;0;0;0;1;0;0;23;43;5,799;2;2;4,094344562;0;198,25;0,25;9;10,75;0,033333333;
2009;E;8;N;interior;tripra;4n;11,1;128,5;-13,6014167;-14,4616987;;;0,51505444;5;1,609437912;4;58;3;51;0;0;2;0;0;2;1;0;0;0;0;0;0;53;6;6,912580645;207;210;4,094344562;3;99,75;0,6;10,2;1,2;3,5;
2009;E;8;N;edge;tripra;4n;11,1;147,75;-9,7514167;-10,6116987;;;0,51505444;5;1,609437912;4;58;0;55;0;0;0;3;0;1;0;0;1;0;0;0;0;53;11;6,64252322;153;159;4,094344562;6;150,75;0;11;2,2;2,65;
2009;M;9;Y;interior;tripra;4n;6;162,75;14,9485833;14,0883013;600;-235,23;0,530631255;3;1,098612289;7;76;3;67;0;0;1;3;0;6;1;0;1;0;0;1;1;62;2;6,968988095;100;100;4,094344562;0;264,5;1;22,33333333;0,666666667;1,666666667;
2009;M;9;Y;edge;tripra;4n;6;197;26,36524997;25,50496797;600;-235,23;0,530631255;3;1,098612289;5;81;2;72;0;0;0;3;0;2;2;0;0;0;1;0;0;73;4;6,846746988;146;150;4,094344562;4;219,25;0,666666667;24;1,333333333;2,5;
2009;M;10;N;interior;tripra;2n;8;121,25;-8,570652133;-6,146296333;;;0,611312158;3;1,098612289;4;38;2;32;0;0;2;1;0;3;0;0;0;0;0;0;0;32;6;6,847073171;62;80;4,094344562;18;783,5;0,666666667;10,66666667;2;1,333333333;
2009;M;10;N;edge;tripra;2n;8;153,5;2,179347867;4,603703667;;;0,611312158;3;1,098612289;5;63;1;54;0;0;1;11;0;6;0;0;0;0;0;0;2;43;13;6,518714286;42;67;4,094344562;25;543,75;0,333333333;18;4,333333333;1,116666667;
2009;M;11;N;interior;tripra;4n;11;105,5;-12,9264167;-13,7866987;;;0,65452473;4;1,386294361;2;26;0;24;0;0;0;4;0;2;0;0;0;0;0;0;0;20;10;6,290588235;160;193;4,094344562;33;192,25;0;6;2,5;3,216666667;
2009;M;11;N;edge;tripra;4n;11;186;7,1985833;6,3383013;;;0,65452473;4;1,386294361;4;36;2;34;0;0;1;7;0;0;0;0;0;0;0;1;0;27;13;6,430816327;589;650;4,094344562;61;240,25;0,5;8,5;3,25;10,83333333;
2009;M;12;Y;interior;tripra;4n;7;181,5;6,0735833;5,2133013;600;-235,23;0,432345054;4;1,386294361;7;83;2;75;0;0;0;7;0;2;1;0;0;1;0;1;1;70;1;6,821219512;297;319;4,094344562;22;358,75;0,5;18,75;0,25;5,316666667;
2009;M;12;Y;edge;tripra;4n;7;157;-0,0514167;-0,9116987;600;-235,23;0,432345054;4;1,386294361;6;65;4;54;0;0;3;5;0;2;0;0;0;0;0;1;2;52;80;5,917202797;14;15;4,094344562;1;441,25;1;13,5;20;0,25;
2009;M;13;N;interior;tripra;2n;12;203,75;18,92934787;21,35370367;;;0,536180793;3;1,098612289;2;26;0;26;0;0;0;5;0;0;0;0;0;0;0;0;0;21;25;5,914509804;482;491;4,094344562;9;364;0;8,666666667;8,333333333;8,183333333;
2009;M;13;N;edge;tripra;2n;12;235,75;29,59601453;32,02037033;;;0,536180793;3;1,098612289;5;31;3;26;0;0;1;5;0;2;2;0;0;0;0;0;1;20;106;5,405037037;378;401;4,094344562;23;281;1;8,666666667;35,33333333;6,683333333;
